TESTATA;27/01/2022;09:48;SALARI 2021/12;920
GE;INIZIO;31/12/2021;31/12/2021;SE;555;N;SALARI 2021/12;;N;N;1
GE;RIGA;G;44;01;000001;;AM_00@ND@SO@SE;STI;EURO;;20073,72;20073,72;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_00@ND@SO@SE;20073,72;ND
GE;RIGA;G;08;14;000001;;SE;STI;EURO;;907273,36;907273,36;A;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_00@ND@SO@SE;30646,32;ND
GE;CDC;DG_00@ND@SO@SE;26127,71;ND
GE;CDC;LO_00@ND@NI@ND;31886,02;ND
GE;CDC;LO_00@ND@PR@ND;33535,93;ND
GE;CDC;LO_00@ND@SO@ND;60899,23;ND
GE;CDC;TR_02@ND@SO@ND;4819,50;ND
GE;CDC;TR_09@ND@PR@ND;8975,46;ND
GE;CDC;AM_04@ND@SO@ND;9319,19;ND
GE;CDC;AM_07@ND@SO@SE;14373,19;ND
GE;CDC;CO_00@ND@SO@SE;13206,00;ND
GE;CDC;CO_01@ND@SO@SE;5543,36;ND
GE;CDC;EC_0010@ND@BF@ND;24735,34;ND
GE;CDC;EC_0010@ND@BL@ND;279563,93;ND
GE;CDC;EC_0010@ND@BS@ND;113709,32;ND
GE;CDC;EC_0010@ND@BU@ND;64339,12;ND
GE;CDC;FA_01@ND@SO@SE;11606,74;ND
GE;CDC;LO_00@ND@CP@ND;19599,66;ND
GE;CDC;LO_00@ND@MO@ND;20067,51;ND
GE;CDC;LO_00@ND@RM@ND;43227,67;ND
GE;CDC;LO_00@ND@TA@ND;39960,36;ND
GE;CDC;SI_02@ND@SO@SE;5629,82;ND
GE;CDC;TR_02@ND@SO@SE;21065,91;ND
GE;CDC;TR_09@ND@MO@ND;24436,07;ND
GE;RIGA;G;44;01;000001;;DG_00@ND@SO@SE;STI;EURO;;17289,70;17289,70;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;DG_00@ND@SO@SE;17289,70;ND
GE;RIGA;G;44;01;000001;;LO_00@ND@NI@ND;STI;EURO;;21235,65;21235,65;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@NI@ND;21235,65;ND
GE;RIGA;G;44;01;000001;;LO_00@ND@PR@ND;STI;EURO;;21029,87;21029,87;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@PR@ND;21029,87;ND
GE;RIGA;G;44;01;000001;;LO_00@ND@SO@ND;STI;EURO;;33438,99;33438,99;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@SO@ND;33438,99;ND
GE;RIGA;G;44;01;000001;;TR_02@ND@SO@ND;STI;EURO;;3227,29;3227,29;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;TR_02@ND@SO@ND;3227,29;ND
GE;RIGA;G;44;01;000001;;TR_09@ND@PR@ND;STI;EURO;;6201,55;6201,55;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;TR_09@ND@PR@ND;6201,55;ND
GE;RIGA;G;08;14;000004;;SE;STI;EURO;;320094,36;320094,36;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_00@ND@SO@SE;13997,63;ND
GE;CDC;AM_04@ND@SO@ND;5200,96;ND
GE;CDC;AM_07@ND@SO@SE;6209,71;ND
GE;CDC;CO_00@ND@SO@SE;6505,50;ND
GE;CDC;CO_01@ND@SO@SE;2285,27;ND
GE;CDC;DG_00@ND@SO@SE;12745,03;ND
GE;CDC;EC_0010@ND@BF@ND;7354,08;ND
GE;CDC;EC_0010@ND@BL@ND;89151,03;ND
GE;CDC;EC_0010@ND@BS@ND;34074,37;ND
GE;CDC;EC_0010@ND@BU@ND;18562,61;ND
GE;CDC;FA_01@ND@SO@SE;5638,90;ND
GE;CDC;LO_00@ND@CP@ND;5776,46;ND
GE;CDC;LO_00@ND@MO@ND;7778,95;ND
GE;CDC;LO_00@ND@NI@ND;9907,83;ND
GE;CDC;LO_00@ND@PR@ND;13709,19;ND
GE;CDC;LO_00@ND@RM@ND;18717,08;ND
GE;CDC;LO_00@ND@SO@ND;19760,04;ND
GE;CDC;LO_00@ND@TA@ND;16124,09;ND
GE;CDC;SI_02@ND@SO@SE;2767,43;ND
GE;CDC;TR_02@ND@SO@ND;1975,65;ND
GE;CDC;TR_02@ND@SO@SE;9345,14;ND
GE;CDC;TR_09@ND@MO@ND;10209,85;ND
GE;CDC;TR_09@ND@PR@ND;2297,56;ND
GE;RIGA;G;08;13;000001;;SE;STI;EURO;;259766,69;259766,69;A;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_00@ND@SO@SE;10973,27;ND
GE;CDC;AM_04@ND@SO@ND;3437,84;ND
GE;CDC;AM_07@ND@SO@SE;4743,87;ND
GE;CDC;CO_00@ND@SO@SE;1579,83;ND
GE;CDC;CO_01@ND@SO@SE;1783,95;ND
GE;CDC;DG_00@ND@SO@SE;9582,35;ND
GE;CDC;EC_0010@ND@BF@ND;6843,21;ND
GE;CDC;EC_0010@ND@BL@ND;69298,72;ND
GE;CDC;EC_0010@ND@BS@ND;31657,39;ND
GE;CDC;EC_0010@ND@BU@ND;15835,79;ND
GE;CDC;FA_01@ND@SO@SE;4632,50;ND
GE;CDC;LO_00@ND@CP@ND;4706,73;ND
GE;CDC;LO_00@ND@MO@ND;6991,40;ND
GE;CDC;LO_00@ND@NI@ND;10962,51;ND
GE;CDC;LO_00@ND@PR@ND;11171,25;ND
GE;CDC;LO_00@ND@RM@ND;14047,49;ND
GE;CDC;LO_00@ND@SO@ND;17003,96;ND
GE;CDC;LO_00@ND@TA@ND;12277,91;ND
GE;CDC;SI_02@ND@SO@SE;1967,18;ND
GE;CDC;TR_02@ND@SO@ND;1715,39;ND
GE;CDC;TR_02@ND@SO@SE;7492,62;ND
GE;CDC;TR_09@ND@MO@ND;8132,82;ND
GE;CDC;TR_09@ND@PR@ND;2928,71;ND
GE;RIGA;G;08;14;000001;;SE;STI;EURO;;229952,14;229952,14;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_00@ND@SO@SE;8786,32;ND
GE;CDC;AM_04@ND@SO@ND;1843,19;ND
GE;CDC;AM_07@ND@SO@SE;3920,19;ND
GE;CDC;CO_00@ND@SO@SE;5386,00;ND
GE;CDC;CO_01@ND@SO@SE;897,36;ND
GE;CDC;DG_00@ND@SO@SE;12583,71;ND
GE;CDC;EC_0010@ND@BF@ND;5007,34;ND
GE;CDC;EC_0010@ND@BL@ND;70673,43;ND
GE;CDC;EC_0010@ND@BS@ND;25651,32;ND
GE;CDC;EC_0010@ND@BU@ND;19011,40;ND
GE;CDC;FA_01@ND@SO@SE;4980,74;ND
GE;CDC;LO_00@ND@CP@ND;5150,66;ND
GE;CDC;LO_00@ND@MO@ND;3286,51;ND
GE;CDC;LO_00@ND@NI@ND;5716,02;ND
GE;CDC;LO_00@ND@PR@ND;9726,93;ND
GE;CDC;LO_00@ND@RM@ND;9982,67;ND
GE;CDC;LO_00@ND@SO@ND;14261,23;ND
GE;CDC;LO_00@ND@TA@ND;8238,36;ND
GE;CDC;SI_02@ND@SO@SE;1018,82;ND
GE;CDC;TR_02@ND@SO@ND;1195,50;ND
GE;CDC;TR_02@ND@SO@SE;6030,91;ND
GE;CDC;TR_09@ND@MO@ND;4878,07;ND
GE;CDC;TR_09@ND@PR@ND;1725,46;ND
GE;RIGA;G;44;01;000002;;AM_00@ND@SO@SE;STI;EURO;;9510,63;9510,63;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_00@ND@SO@SE;9510,63;ND
GE;RIGA;G;44;01;000002;;AM_04@ND@SO@ND;STI;EURO;;3020,46;3020,46;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_04@ND@SO@ND;3020,46;ND
GE;RIGA;G;44;01;000002;;AM_07@ND@SO@SE;STI;EURO;;4100,05;4100,05;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_07@ND@SO@SE;4100,05;ND
GE;RIGA;G;44;01;000002;;CO_00@ND@SO@SE;STI;EURO;;1686,11;1686,11;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;CO_00@ND@SO@SE;1686,11;ND
GE;RIGA;G;44;01;000002;;CO_01@ND@SO@SE;STI;EURO;;1536,64;1536,64;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;CO_01@ND@SO@SE;1536,64;ND
GE;RIGA;G;44;01;000002;;DG_00@ND@SO@SE;STI;EURO;;8653,20;8653,20;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;DG_00@ND@SO@SE;8653,20;ND
GE;RIGA;G;44;01;000002;;EC_0010@ND@BF@ND;STI;EURO;;6080,32;6080,32;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BF@ND;6080,32;ND
GE;RIGA;G;44;01;000002;;EC_0010@ND@BL@ND;STI;EURO;;60058,97;60058,97;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BL@ND;60058,97;ND
GE;RIGA;G;44;01;000002;;EC_0010@ND@BS@ND;STI;EURO;;27764,63;27764,63;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BS@ND;27764,63;ND
GE;RIGA;G;44;01;000002;;EC_0010@ND@BU@ND;STI;EURO;;14088,04;14088,04;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BU@ND;14088,04;ND
GE;RIGA;G;44;01;000002;;FA_01@ND@SO@SE;STI;EURO;;3919,51;3919,51;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;FA_01@ND@SO@SE;3919,51;ND
GE;RIGA;G;44;01;000002;;LO_00@ND@CP@ND;STI;EURO;;4079,23;4079,23;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@CP@ND;4079,23;ND
GE;RIGA;G;44;01;000002;;LO_00@ND@MO@ND;STI;EURO;;6055,69;6055,69;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@MO@ND;6055,69;ND
GE;RIGA;G;44;01;000002;;LO_00@ND@NI@ND;STI;EURO;;9573,27;9573,27;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@NI@ND;9573,27;ND
GE;RIGA;G;44;01;000002;;LO_00@ND@PR@ND;STI;EURO;;9572,81;9572,81;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@PR@ND;9572,81;ND
GE;RIGA;G;44;01;000002;;LO_00@ND@RM@ND;STI;EURO;;12142,38;12142,38;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@RM@ND;12142,38;ND
GE;RIGA;G;44;01;000002;;LO_00@ND@SO@ND;STI;EURO;;14719,58;14719,58;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@SO@ND;14719,58;ND
GE;RIGA;G;44;01;000002;;LO_00@ND@TA@ND;STI;EURO;;10610,05;10610,05;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@TA@ND;10610,05;ND
GE;RIGA;G;44;01;000002;;SI_02@ND@SO@SE;STI;EURO;;1707,01;1707,01;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;SI_02@ND@SO@SE;1707,01;ND
GE;RIGA;G;44;01;000002;;TR_02@ND@SO@ND;STI;EURO;;1469,25;1469,25;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;TR_02@ND@SO@ND;1469,25;ND
GE;RIGA;G;44;01;000002;;TR_02@ND@SO@SE;STI;EURO;;6519,42;6519,42;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;TR_02@ND@SO@SE;6519,42;ND
GE;RIGA;G;44;01;000002;;TR_09@ND@MO@ND;STI;EURO;;7142,49;7142,49;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;TR_09@ND@MO@ND;7142,49;ND
GE;RIGA;G;44;01;000002;;TR_09@ND@PR@ND;STI;EURO;;2580,74;2580,74;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;TR_09@ND@PR@ND;2580,74;ND
GE;RIGA;G;44;01;000002;;EC_0010@ND@BU@ND;STI;EURO;;7046,40;7046,40;A;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BU@ND;7046,40;ND
GE;RIGA;G;08;13;000001;;SE;STI;EURO;;18696,45;18696,45;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BU@ND;2962,12;ND
GE;CDC;LO_00@ND@SO@ND;683,83;ND
GE;CDC;LO_00@ND@TA@ND;602,71;ND
GE;CDC;EC_0010@ND@BF@ND;823,26;ND
GE;CDC;EC_0010@ND@BL@ND;8546,43;ND
GE;CDC;EC_0010@ND@BS@ND;2981,56;ND
GE;CDC;LO_00@ND@NI@ND;85,71;ND
GE;CDC;LO_00@ND@PR@ND;920,52;ND
GE;CDC;LO_00@ND@RM@ND;675,14;ND
GE;CDC;TR_09@ND@MO@ND;415,17;ND
GE;RIGA;G;44;01;000002;;LO_00@ND@SO@ND;STI;EURO;;6315,05;6315,05;A;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@SO@ND;6315,05;ND
GE;RIGA;G;44;01;000002;;LO_00@ND@TA@ND;STI;EURO;;5217,60;5217,60;A;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@TA@ND;5217,60;ND
GE;RIGA;G;08;13;000017;;SE;STI;EURO;;1611,58;1611,58;A;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_04@ND@SO@ND;441,41;ND
GE;CDC;LO_00@ND@PR@ND;395,25;ND
GE;CDC;EC_0010@ND@BL@ND;155,75;ND
GE;CDC;EC_0010@ND@BS@ND;235,73;ND
GE;CDC;LO_00@ND@TA@ND;383,44;ND
GE;RIGA;G;44;01;000004;;AM_00@ND@SO@SE;STI;EURO;;155,24;155,24;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_00@ND@SO@SE;155,24;ND
GE;RIGA;G;08;13;000003;;SE;STI;EURO;;24685,76;24685,76;A;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_00@ND@SO@SE;135,11;ND
GE;CDC;AM_04@ND@SO@ND;42,88;ND
GE;CDC;AM_07@ND@SO@SE;157,98;ND
GE;CDC;CO_00@ND@SO@SE;117,66;ND
GE;CDC;CO_01@ND@SO@SE;22,10;ND
GE;CDC;DG_00@ND@SO@SE;229,15;ND
GE;CDC;EC_0010@ND@BF@ND;1122,11;ND
GE;CDC;EC_0010@ND@BL@ND;10786,01;ND
GE;CDC;EC_0010@ND@BS@ND;5209,93;ND
GE;CDC;EC_0010@ND@BU@ND;2617,75;ND
GE;CDC;FA_01@ND@SO@SE;103,72;ND
GE;CDC;LO_00@ND@CP@ND;52,62;ND
GE;CDC;LO_00@ND@MO@ND;471,00;ND
GE;CDC;LO_00@ND@NI@ND;664,53;ND
GE;CDC;LO_00@ND@PR@ND;216,29;ND
GE;CDC;LO_00@ND@RM@ND;377,57;ND
GE;CDC;LO_00@ND@SO@ND;209,28;ND
GE;CDC;LO_00@ND@TA@ND;152,62;ND
GE;CDC;SI_02@ND@SO@SE;24,43;ND
GE;CDC;TR_02@ND@SO@ND;21,20;ND
GE;CDC;TR_02@ND@SO@SE;92,37;ND
GE;CDC;TR_09@ND@MO@ND;1379,28;ND
GE;CDC;TR_09@ND@PR@ND;480,17;ND
GE;RIGA;G;44;01;000004;;AM_04@ND@SO@ND;STI;EURO;;48,89;48,89;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_04@ND@SO@ND;48,89;ND
GE;RIGA;G;44;01;000004;;AM_07@ND@SO@SE;STI;EURO;;180,19;180,19;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_07@ND@SO@SE;180,19;ND
GE;RIGA;G;44;01;000004;;CO_00@ND@SO@SE;STI;EURO;;131,77;131,77;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;CO_00@ND@SO@SE;131,77;ND
GE;RIGA;G;44;01;000004;;CO_01@ND@SO@SE;STI;EURO;;25,08;25,08;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;CO_01@ND@SO@SE;25,08;ND
GE;RIGA;G;44;01;000004;;DG_00@ND@SO@SE;STI;EURO;;258,13;258,13;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;DG_00@ND@SO@SE;258,13;ND
GE;RIGA;G;44;01;000004;;EC_0010@ND@BF@ND;STI;EURO;;1281,80;1281,80;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BF@ND;1281,80;ND
GE;RIGA;G;44;01;000004;;EC_0010@ND@BL@ND;STI;EURO;;12214,24;12214,24;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BL@ND;12214,24;ND
GE;RIGA;G;44;01;000004;;EC_0010@ND@BS@ND;STI;EURO;;5881,41;5881,41;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BS@ND;5881,41;ND
GE;RIGA;G;44;01;000004;;EC_0010@ND@BU@ND;STI;EURO;;3001,00;3001,00;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BU@ND;3001,00;ND
GE;RIGA;G;44;01;000004;;FA_01@ND@SO@SE;STI;EURO;;118,06;118,06;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;FA_01@ND@SO@SE;118,06;ND
GE;RIGA;G;44;01;000004;;LO_00@ND@CP@ND;STI;EURO;;60,26;60,26;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@CP@ND;60,26;ND
GE;RIGA;G;44;01;000004;;LO_00@ND@MO@ND;STI;EURO;;528,58;528,58;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@MO@ND;528,58;ND
GE;RIGA;G;44;01;000004;;LO_00@ND@NI@ND;STI;EURO;;757,55;757,55;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@NI@ND;757,55;ND
GE;RIGA;G;44;01;000004;;LO_00@ND@PR@ND;STI;EURO;;235,06;235,06;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@PR@ND;235,06;ND
GE;RIGA;G;44;01;000004;;LO_00@ND@RM@ND;STI;EURO;;427,87;427,87;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@RM@ND;427,87;ND
GE;RIGA;G;44;01;000004;;LO_00@ND@SO@ND;STI;EURO;;238,70;238,70;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@SO@ND;238,70;ND
GE;RIGA;G;44;01;000004;;LO_00@ND@TA@ND;STI;EURO;;173,70;173,70;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@TA@ND;173,70;ND
GE;RIGA;G;44;01;000004;;SI_02@ND@SO@SE;STI;EURO;;27,85;27,85;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;SI_02@ND@SO@SE;27,85;ND
GE;RIGA;G;44;01;000004;;TR_02@ND@SO@ND;STI;EURO;;23,97;23,97;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;TR_02@ND@SO@ND;23,97;ND
GE;RIGA;G;44;01;000004;;TR_02@ND@SO@SE;STI;EURO;;105,37;105,37;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;TR_02@ND@SO@SE;105,37;ND
